id,author,title,publisher,year,pages,language,size,extension,filesize,link,isbn,doi,book_age,filesize_mb,language_code,is_recent,title_match_score,author_match_score,recency_score,popularity_score,quality_score,overall_score
186876,Tarek Ziad,Expert Python Programming 9781847194947,Packt Publishing,2008,372.0,English,10 Mb,pdf,10485760,http://books.ms/main/38973028AEADD1E043E69BCA2E4CCFBA,,,17,10.0,en,False,0.8,0.0,0.26487794020167355,0.11143587869930581,0.8999999999999999,0.537631381890098
882098,John V. Guttag,Introduction to Computation and Programming Using Python [Spring 2013 Edition] 978-0262519632,MIT Press,2013,,English,86 Mb,pdf,90177536,http://books.ms/main/BA16158EA57C103746BD64A39FC13AD0,,,12,86.0,en,False,0.6799999999999999,0.0,0.34764417421931626,1.0,0.6499999999999999,0.5367644174219316
208525,,Bioinformatics Programming Using Python 9780596155797,Oreilly,2009,524.0,English,4 Mb,pdf,4194304,http://books.ms/main/193122E309FE12DC273CBFEAF70E2685,,,16,4.0,en,False,0.76,0.0,0.2794153127047222,0.041286079649251003,0.7999999999999999,0.49607013923539733
205365,Wesley Chun,"Core Python Programming ( ) [2 ed.] 9780132269933, 0132269937",Prentice Hall,2006,703.0,English,5 Mb,pdf,5242880,http://books.ms/main/5B32591549EF690787C0DF34AC55A18E,,,19,5.0,en,False,0.7333333333333333,0.0,0.23808109682669842,0.052977712824260136,0.7999999999999999,0.4824392142984292
113338,Tarek Ziadé,"Expert Python programming learn best practices to designing, coding, and distributing your Python software 184719494X, 9781847194947",Packt Publishing,2008,372.0,English,10 Mb,pdf,10485760,http://books.ms/main/51FC5966C91A68CEDEE72634E9EB1941,,,17,10.0,en,False,0.6615384615384615,0.0,0.26487794020167355,0.11143587869930581,0.8999999999999999,0.4822467665054826
208764,Wesley J. Chun,Ptr Core SeriesCore Python Programming 0130876976,Prentice Hall PTR,2000,765.0,English,8 Mb,pdf,8388608,http://books.ms/main/7E16DAD6B0CFBC0A6F7C2BE07B307600,,,25,8.0,en,False,0.7333333333333333,0.0,0.1713527398304342,0.08805261234928755,0.7999999999999999,0.4792738685513055
182247,Tarek Ziade,"Expert Python Programming 978-1-847191-02-1, 978-1-847191-98-4",,2008,372.0,English,5 Mb,pdf,5242880,http://books.ms/main/38E9DD117FDE0C3E5EFD0F36B967F382,,,17,5.0,en,False,0.7142857142857143,0.0,0.26487794020167355,0.052977712824260136,0.7999999999999999,0.4774998510168792
183332,Mark Lutz,"Programming Python, with CD [2 ed.] 9780596000851, 0-596-00085-5",O'Reilly Media,2001,1269.0,English,7 Mb,pdf,7340032,http://books.ms/main/2504F6DE0C5C1FFA4700CC950A37AFB4,,,24,7.0,en,False,0.7142857142857143,0.0,0.1813279312089252,0.0763609791742784,0.7999999999999999,0.4714831767526061
26812,Mark Lutz,"Programming Python [Third Edition] 9780596009250, 0596009259",O'Reilly Media,2006,1600.0,English,10 Mb,chm,10485760,http://books.ms/main/6FE6D02D2935569DEDCC1A822B3B6617,,,19,10.0,en,False,0.7333333333333333,0.0,0.23808109682669842,0.11143587869930581,0.7,0.46828503088593376
205366,Wesley J. Chun,"Prentice Hall Ptr Core SeriesCore Python Programming 9780130260369, 0130260363",Prentice Hall,2000,766.0,English,8 Mb,pdf,8388608,http://books.ms/main/B3B303A6771567FA9A1CDB18BB6AC627,,,25,8.0,en,False,0.6888888888888889,0.0,0.1713527398304342,0.08805261234928755,0.7999999999999999,0.4614960907735277
